,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
3048,nanihaal,9/29/25,Delhi,hauz khas,1404584,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3049,nanihaal,9/29/25,Gurgaon,jalvayu towers,1404613,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3050,nanihaal,9/29/25,Noida 1,noida expressway,1398130,"masala, pickle and papad",whole spices,methi seeds,nanihaal sabut methi dana,100 g,629844,No,,,40,1,40
3051,nanihaal,9/29/25,Delhi,karol bagh,1062419,"salt, sugar and jaggery",salt,sendha salt,nanihaal sendha namak,200 g,928028,No,,,27,1,27
3052,nanihaal,9/29/25,Gurgaon,sohna road,1278169,"masala, pickle and papad",whole spices,mustard seeds,nanihaal black kaali rai,100 g,476460,No,,,48,1,48
3053,nanihaal,9/29/25,Gurgaon,jalvayu towers,1392083,"masala, pickle and papad",whole spices,mustard seeds,nanihaal kaali sarson,100 g,329709,No,,,30,2,60
3054,nanihaal,9/29/25,Gurgaon,jalvayu towers,1392083,"masala, pickle and papad",whole spices,saunf,nanihaal moti saunf,100 g,129595,No,,,105,1,105
3055,nanihaal,9/29/25,Chandigarh,greater mohali,1386912,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,68,1,68
3056,nanihaal,9/29/25,Kolkata,chinar park,1387910,"masala, pickle and papad",whole spices,mustard seeds,nanihaal black kaali rai,100 g,476460,No,,,48,1,48
3057,nanihaal,9/29/25,Bhubaneswar,khandagiri,1403022,"masala, pickle and papad",whole spices,tamarind,nanihaal imli ( seedless),150 g,513420,No,,,55,2,110
3058,nanihaal,9/29/25,Noida 1,sector 50,1400556,"masala, pickle and papad",whole spices,kalonji,nanihaal kalonji,100 g,447621,No,,,72,1,72
3059,nanihaal,9/29/25,Delhi,malviya nagar,1399700,"salt, sugar and jaggery",salt,sendha salt,nanihaal sendha namak,200 g,928028,No,,,27,1,27
3060,nanihaal,9/29/25,Kolkata,esplanade,1400551,"masala, pickle and papad",whole spices,cinnamon,nanihaal dal cheeni,50 g,573571,No,,,75,1,75
3061,nanihaal,9/29/25,Gurgaon,new sohna road,1397028,"masala, pickle and papad",whole spices,laung,nanihaal laung,50 g,199846,No,,,135,2,270
3062,nanihaal,9/29/25,Mumbai,ulhasnagar,1400552,"masala, pickle and papad",whole spices,mustard seeds,nanihaal kaali sarson,100 g,329709,No,,,30,1,30
